Date,Open,High,Low,Close,Adj Close,Volume
2012-05-11,4.220000,4.240000,4.200000,4.220000,3.353426,24082400
2012-05-14,4.200000,4.240000,4.080000,4.080000,3.242175,34926200
2012-05-15,4.060000,4.080000,3.960000,4.040000,3.210389,51119200
2012-05-16,3.980000,4.000000,3.920000,4.000000,3.178603,32102500
2012-05-17,4.040000,4.040000,3.960000,3.980000,3.162710,26282400
2012-05-18,3.920000,3.940000,3.860000,3.880000,3.083245,35635100
2012-05-21,3.880000,3.900000,3.780000,3.780000,3.003780,34639600
2012-05-22,3.840000,3.860000,3.740000,3.740000,2.971994,25123100
2012-05-23,3.700000,3.720000,3.580000,3.600000,2.860743,52709000
2012-05-24,3.600000,3.660000,3.520000,3.620000,2.876636,59551500
2012-05-25,3.620000,3.680000,3.580000,3.660000,2.908422,57562700
2012-05-28,3.680000,3.740000,3.620000,3.720000,2.956101,31858500
2012-05-29,3.700000,3.800000,3.700000,3.740000,2.971994,56822500
2012-05-30,3.700000,3.720000,3.600000,3.620000,2.876636,38607000
2012-05-31,3.580000,3.660000,3.540000,3.660000,2.908422,44032700
2012-06-01,3.620000,3.620000,3.580000,3.580000,2.844850,30019500
2012-06-05,3.580000,3.580000,3.460000,3.460000,2.749492,44282000
2012-06-06,3.500000,3.540000,3.480000,3.520000,2.797171,30679600
2012-06-07,3.580000,3.600000,3.480000,3.560000,2.828957,33147200
2012-06-08,3.540000,3.600000,3.500000,3.600000,2.860743,25982700
2012-06-11,3.680000,3.800000,3.660000,3.780000,3.003780,65572000
2012-06-12,3.720000,3.880000,3.700000,3.880000,3.083245,65982700
2012-06-13,3.880000,3.920000,3.760000,3.780000,3.003780,46296400
2012-06-14,3.780000,3.840000,3.720000,3.720000,2.956101,20362700
2012-06-15,3.800000,3.880000,3.760000,3.860000,3.067352,56251100
2012-06-18,3.920000,3.920000,3.820000,3.860000,3.067352,32376500
2012-06-19,3.860000,3.880000,3.820000,3.880000,3.083245,17547600
2012-06-20,3.880000,3.880000,3.820000,3.840000,3.051459,17077200
